label,count,assigned,is_process,manual_override,override_arm
Investigation by Journal/Publisher,31575,PROCESS_ONLY,True,,
Unreliable Results and/or Conclusions,21688,HONEST_ERROR,False,,
Investigation by Third Party,17616,PROCESS_ONLY,True,,
Concerns/Issues about Data,15839,UNCONFIRMED_CONCERNS,False,,
Concerns/Issues about Referencing/Attributions,15216,UNCONFIRMED_CONCERNS,False,,
Notice - Limited or No Information,12109,PROCESS_ONLY,True,,
Paper Mill,11796,AUTHOR_MISCONDUCT,False,,
Concerns/Issues about Peer Review,11669,UNCONFIRMED_CONCERNS,False,UNCONFIRMED_CONCERNS,
Compromised Peer Review,11451,EDITORIAL_COMPROMISE,False,,
Concerns/Issues about Results and/or Conclusions,9957,UNCONFIRMED_CONCERNS,False,,
Computer-Aided Content or Computer-Generated Content,9175,AUTHOR_MISCONDUCT,False,,
Date of Article and/or Notice Unknown,7009,PROCESS_ONLY,True,,
Duplication of/in Image,5551,AUTHOR_MISCONDUCT,False,,
Breach of Policy by Author,4792,AUTHOR_MISCONDUCT,False,,
Removed,4054,PROCESS_ONLY,True,,
Investigation by Company/Institution,3830,PROCESS_ONLY,True,,
Euphemisms for Plagiarism,3778,AUTHOR_MISCONDUCT,False,,
Duplication of/in Article,3706,AUTHOR_MISCONDUCT,False,,
Objections by Author(s),3576,PROCESS_ONLY,True,,
Concerns/Issues about Image,3531,UNCONFIRMED_CONCERNS,False,,
Rogue Editor,3232,EDITORIAL_COMPROMISE,False,,
Author Unresponsive,3173,PROCESS_ONLY,True,,
Concerns/Issues about Authorship/Affiliation,3112,UNCONFIRMED_CONCERNS,False,,
Plagiarism of/in Article,2879,AUTHOR_MISCONDUCT,False,,
Lack of IRB/IACUC Approval and/or Compliance,2636,ETHICS_VIOLATION,False,,
Original Data and/or Images not Provided and/or not Available,2552,UNCONFIRMED_CONCERNS,False,,
Unreliable Data,2334,HONEST_ERROR,False,,
Euphemisms for Duplication,2250,AUTHOR_MISCONDUCT,False,,
Upgrade/Update of Prior Notice(s),2229,PROCESS_ONLY,True,,
Plagiarism of Text,2224,AUTHOR_MISCONDUCT,False,,
Error in Data,2137,HONEST_ERROR,False,,
Updated to Retraction,1971,PROCESS_ONLY,True,,
Concerns/Issues about Third Party Involvement,1958,UNCONFIRMED_CONCERNS,False,,
Misconduct by Author,1947,AUTHOR_MISCONDUCT,False,,
Falsification/Fabrication of Data,1738,AUTHOR_MISCONDUCT,False,,
Misconduct - Official Investigation(s) and/or Finding(s),1669,AUTHOR_MISCONDUCT,False,,
Concerns/Issues about Article,1663,UNCONFIRMED_CONCERNS,False,,
Informed/Patient Consent - None/Withdrawn,1605,PROCESS_ONLY,True,,
Error in Image,1549,HONEST_ERROR,False,,
Error in Results and/or Conclusions,1489,HONEST_ERROR,False,,
Error in Analyses,1481,HONEST_ERROR,False,,
Manipulation of Images,1431,AUTHOR_MISCONDUCT,False,,
Error in Methods,1302,HONEST_ERROR,False,,
Error in Text,1286,HONEST_ERROR,False,,
Duplication of Data,1121,AUTHOR_MISCONDUCT,False,,
Retract and Replace,1056,PROCESS_ONLY,True,,
Results Not Reproducible,951,HONEST_ERROR,False,,
False/Forged Authorship,921,AUTHOR_MISCONDUCT,False,,
Conflict of Interest,917,UNCLASSIFIED,False,,
Duplication of Content through Error by Journal/Publisher,888,EDITORIAL_COMPROMISE,False,EDITORIAL_COMPROMISE,
Error by Journal/Publisher,882,EDITORIAL_COMPROMISE,False,,
Plagiarism of Image,845,AUTHOR_MISCONDUCT,False,,
Objections by Third Party,838,UNCLASSIFIED,False,,
Concerns/Issues about Human Subject Welfare,797,UNCONFIRMED_CONCERNS,False,,
Copyright Claims,714,PROCESS_ONLY,True,,
Ethical Violations by Author,696,AUTHOR_MISCONDUCT,False,,
Plagiarism of Data,651,AUTHOR_MISCONDUCT,False,,
Lack of Approval from Author,586,UNCONFIRMED_CONCERNS,False,,
Falsification/Fabrication of Image,561,AUTHOR_MISCONDUCT,False,,
Duplication of Text,500,AUTHOR_MISCONDUCT,False,,
Withdrawn to Publish in Different Journal,495,PROCESS_ONLY,True,,
Lack of Approval from Third Party,453,UNCONFIRMED_CONCERNS,False,,
Legal Reasons and/or Threats,453,PROCESS_ONLY,True,,
Taken from Dissertation/Thesis,369,AUTHOR_MISCONDUCT,False,,
Withdrawn as Out of Date,363,PROCESS_ONLY,True,,
Notice - Lack of,361,PROCESS_ONLY,True,,
Civil Proceedings,345,UNCLASSIFIED,False,,
Investigation by ORI,305,PROCESS_ONLY,True,,
Lack of Approval from Company/Institution,301,UNCONFIRMED_CONCERNS,False,,
Unreliable Image,283,UNCLASSIFIED,False,,
Cites Retracted Work,221,UNCLASSIFIED,False,,
Notice - Unable to Access via current resources,206,PROCESS_ONLY,True,,
Error in Materials,204,HONEST_ERROR,False,,
False/Forged Affiliation,199,AUTHOR_MISCONDUCT,False,,
Concerns/Issues about Methods,196,UNCONFIRMED_CONCERNS,False,,
Temporary Removal,193,PROCESS_ONLY,True,,
Contamination of Cell Lines/Tissues,171,HONEST_ERROR,False,,
Doing the Right Thing,142,UNCLASSIFIED,False,,
