openalex_id,doi,pub_year,n_authors,source_id,retraction_date,retraction_year,category,rw_journal,rw_publisher
W24599953,10.1074/jbc.m113.537241,1990,1,S11056413,2017-01-13,2017.0,UNCONFIRMED_CONCERNS,The Journal of Biological Chemistry,American Society for Biochemistry and Molecular Biology (ASBMB)
W34191839,10.1371/journal.pone.0253390,1983,1,S4306550419,2022-08-03,2022.0,EDITORIAL_COMPROMISE,PLoS One,PLoS
W33333175,10.1016/j.brainresbull.2020.12.006,2003,1,S2764443532,2022-08-30,2022.0,AUTHOR_MISCONDUCT,Brain Research Bulletin,Elsevier
W34412665,10.1186/s13046-021-02052-z,2006,1,S4306546623,2022-02-15,2022.0,EDITORIAL_COMPROMISE,Journal of Experimental & Clinical Cancer Research: (CR),Springer - Biomed Central (BMC)
W33573447,10.1080/10799893.2021.1884260,1987,3,,2021-07-27,2021.0,UNCONFIRMED_CONCERNS,Journal of Receptors and Signal Transduction,Taylor and Francis
W11069612,10.1046/j.1460-9568.2000.00330.x,2005,1,S951853888,2016-03-20,2016.0,UNCLASSIFIED,European Journal of Neuroscience,Wiley
W33500662,10.2147/cmar.s286866,1999,2,S2764436001,2021-07-19,2021.0,AUTHOR_MISCONDUCT,Cancer Management and Research,Taylor and Francis - Dove Press
W34274310,10.1016/j.lfs.2021.119825,1994,1,S4306507920,2021-07-15,2021.0,AUTHOR_MISCONDUCT,Life Sciences,Elsevier
W33620550,10.1007/s00394-021-02514-2,2013,1,S4306555518,2022-06-29,2022.0,AUTHOR_MISCONDUCT,European Journal of Nutrition,Springer
W34386416,10.3389/fonc.2021.664369,1991,3,S4306517258,2022-09-27,2022.0,HONEST_ERROR,Frontiers in Oncology,Frontiers
W27382348,10.4196/kjpp.2016.20.4.325,1999,6,S4306402118,2017-03-01,2017.0,AUTHOR_MISCONDUCT,The Korean Journal of Physiology & Pharmacology: Official Journal of the Korean Physiological Society and the Korean Society of Pharmacology,Korean Association of Medical Journal Editors
W34148154,10.1007/s10792-021-01912-z,2012,1,S4306550987,2021-11-13,2021.0,EDITORIAL_COMPROMISE,International Ophthalmology,Springer
W33770126,10.1371/journal.pone.0248873,2002,1,S4306506421,2021-06-21,2021.0,AUTHOR_MISCONDUCT,PLoS One,PLoS
W33604552,10.1016/j.cytox.2019.100015,2002,1,S2764457167,2019-12-27,2019.0,EDITORIAL_COMPROMISE,Cytokine: X,Elsevier
