Record ID,Title,Journal,Publisher,Category,RetractionYear,OriginalPaperDOI
5531.0,"An Assessment of the Relation between Analysts' Earnings Forecast Accuracy, Motivational Incentives and Cognitive Information Search Strategy",The Accounting Review,American Accounting Association,AUTHOR_MISCONDUCT,2015.0,10.2308/accr-10450.s02
16321.0,Performance of Accountants in Private Industry: A Survival Analysis,Accounting Horizons,American Accounting Association,AUTHOR_MISCONDUCT,2015.0,10.2308/acch-10451.s02
16318.0,Hierarchical and Gender Differences in Private Accounting Practice,Accounting Horizons,American Accounting Association,AUTHOR_MISCONDUCT,2015.0,10.2308/acch-10452.s02
2533.0,"Dental caries and oral health practices among 12 year old children in Nairobi West and Mathira West Districts, Kenya",Pan African Medical Journal (PAMJ),Pan African Medical Journal (PAMJ),AUTHOR_MISCONDUCT,2015.0,10.11604/pamj.2012.12.42.1196
38461.0,Power Transformer Incipient Faults Diagnosis Based on Dissolved Gas Analysis,Indonesian Journal of Electrical Engineering and Computer Science,Institute of Advanced Engineering and Science,AUTHOR_MISCONDUCT,2016.0,10.11591/ijeecs.v16.i3.pp409-416
5223.0,Munc18c is Dispensable for Insulin-stimulated GLUT4 Translocation in Adipocytes,Progress in Biochemistry and Biophysics,Chinese Academy of Sciences,UNCONFIRMED_CONCERNS,2016.0,10.3724/SP.J.1206.2014.00089
6361.0,The Indirect Relationship Between Learning Climate and Employees’ Creativity and Adaptivity: The Role of Employee Engagement,Personnel Psychology,Wiley,AUTHOR_MISCONDUCT,2016.0,10.1111/peps.1214
40212.0,Frank Ruschitzka MD FESC FRCP shares some thoughts on the future direction of the Heart Failure Association of the European Society of Cardiology,European Journal of Heart Failure,Wiley,UNCONFIRMED_CONCERNS,2016.0,10.1002/ejhf.3_536
10822.0,The Assessment of Critical Thinking Skill for Early Age Children Based on Criterion Referenced and Norm Referenced Interpretations,TARBIYA: Journal Of Education In Muslim Society,Universitas Islam Negeri,AUTHOR_MISCONDUCT,2016.0,10.15408/tjems.v3i1.339
5043.0,"Detection of LC50, NOEC and LOEC of some heavy metals (mercury, plumb and zinc) in freshwater fish Roach (Rutilus rutilus)",Toxicology and Industrial Health,SAGE Publications,AUTHOR_MISCONDUCT,2017.0,10.1177/0748233712683134
5752.0,Impact of Co-existing Vascular Headache on Symptom Relief After Endoscopic Sinus Surgery,Journal of Evolution of Medical and Dental Sciences,International Society of Medical and Dental Sciences,HONEST_ERROR,2017.0,10.14260/jemds/2016/1284
31918.0,Formation of innovation and regional policy of the Russian Federation in the context of severe sanctions,Internet Journal of Science (Интернет-Журнал Науковедение),Publishing Center Science of Science (Moscow) (Издательский центр Науковедение (Москва)),AUTHOR_MISCONDUCT,2017.0,10.15862/97EVN315
31957.0,Cloud-fog monitoring of enterprise benchmarking using the TRIPLE H-Avatar service driven by intelligent agents in a service-oriented virtual environment with an intentional sliding mode,Internet Journal of Science (Интернет-Журнал Науковедение),Publishing Center Science of Science (Moscow) (Издательский центр Науковедение (Москва)),AUTHOR_MISCONDUCT,2017.0,10.15862/168EVN215
9158.0,Comparative Effectiveness of Complete Revascularization versus Infarct Related Artery-only Percutaneous Coronary Revascularization for Multivessel Disease after ST-Segment Elevation Myocardial Infarction,International Cardiovascular Forum Journal,Barcaray Publishing,AUTHOR_MISCONDUCT,2017.0,10.1987/icfj.v8i0.256
31947.0,Reconstruction of highways using precast concrete elements,Internet Journal of Science (Интернет-Журнал Науковедение),Publishing Center Science of Science (Moscow) (Издательский центр Науковедение (Москва)),AUTHOR_MISCONDUCT,2017.0,10.15862/06KO615
31916.0,On the issue of the efficiency of pipelines in everyday life and utilities,Internet Journal of Science (Интернет-Журнал Науковедение),Publishing Center Science of Science (Moscow) (Издательский центр Науковедение (Москва)),AUTHOR_MISCONDUCT,2017.0,10.15862/146TVN115
7790.0,Regulatory factors of induced pluripotency: current status,Stem Cell Investigation,AME Publishing Company,AUTHOR_MISCONDUCT,2017.0,10.3978/j.issn.2313-0792.2014.07.01
31954.0,Decision making involving the results of space activities,Internet Journal of Science (Интернет-Журнал Науковедение),Publishing Center Science of Science (Moscow) (Издательский центр Науковедение (Москва)),AUTHOR_MISCONDUCT,2017.0,10.15862/124EVN415
40126.0,"Mitochondria: Structure, Function and Clinical Relevance",International Journal of Molecular Biology: Open Access,MedCrave,AUTHOR_MISCONDUCT,2017.0,10.15406/ijmboa.2017.02.00029
7815.0,Microbe-Host Interactions: Structure and Role of Gram-Negative Bacterial Porins,Current Protein and Peptide Science,Bentham Open,AUTHOR_MISCONDUCT,2017.0,10.2174/1389203711213080012
13651.0,Characteristics of Plastic Lens Dimensional Deviation according to Injection Mold Clamping Force,Journal of the Korean Society for Precision Engineering,Korean Society of Precision Engineering,UNCLASSIFIED,2017.0,10.77736/KSPE.2015.32.12.1081
15469.0,Metallothionein I+II expression and their role in experimental autoimmune encephalomyelitis,Glia,Wiley,AUTHOR_MISCONDUCT,2017.0,10.1002/1098-1136(200012)32:3%3c247::AID-GLIA50%3e3.0.CO;2-T
29526.0,Development of Management of Regional Institutions of Local Economic Systems,Internet Journal of Science (Интернет-Журнал Науковедение),Publishing Center Science of Science (Moscow) (Издательский центр Науковедение (Москва)),AUTHOR_MISCONDUCT,2017.0,10.15862/32EVN116
29450.0,Resources of Building Conversion,Internet Journal of Science (Интернет-Журнал Науковедение),Publishing Center Science of Science (Moscow) (Издательский центр Науковедение (Москва)),AUTHOR_MISCONDUCT,2017.0,10.15862/146TVN216
31962.0,Science-intensive and energy-efficient technologies are the basis and priority of university science,Internet Journal of Science (Интернет-Журнал Науковедение),Publishing Center Science of Science (Moscow) (Издательский центр Науковедение (Москва)),AUTHOR_MISCONDUCT,2017.0,10.15862/142TVN115
31917.0,Investigation of the load capacity of the second generation adaptive safety clutches,Internet Journal of Science (Интернет-Журнал Науковедение),Publishing Center Science of Science (Moscow) (Издательский центр Науковедение (Москва)),AUTHOR_MISCONDUCT,2017.0,10.15862/149TVN515
31963.0,Research of consumers of paid fishing services in the middle price category in the Moscow region,Internet Journal of Science (Интернет-Журнал Науковедение),Publishing Center Science of Science (Moscow) (Издательский центр Науковедение (Москва)),AUTHOR_MISCONDUCT,2017.0,10.15862/138TVN115
31955.0,Information technologies for using the results of space activities for the socio-economic development of the regions of Russia,Internet Journal of Science (Интернет-Журнал Науковедение),Publishing Center Science of Science (Moscow) (Издательский центр Науковедение (Москва)),AUTHOR_MISCONDUCT,2017.0,10.15862/121EVN415
29565.0,Modern Aspects of the Use of Electronic Textbooks in Learning,Historical and Socio-Educational Thought (Историческая И Социально-Образовательная Мысль),"Kuban Multidisciplinary Academy of training, retraining, advanced training of specialists North Kuban Institute of Humanities and Technology (Krasnodar) (Кубанская многопрофильная Академия подготовки, переподготовки, повышения квалификации специалистов Северо-Кубанский гуманитарно-технологический институт (Краснодар))",AUTHOR_MISCONDUCT,2017.0,10.17748/2075-9908-2016-8-1/1-156-160
17980.0,Novel Flicker Migration and EMI Noise Reduction Circuit for AC Direct LED Lightings,Journal of Electrical Engineering & Technology,The Korean Institute of Electrical Engineers,UNCLASSIFIED,2018.0,10.5370/JEET.2018.13.1.532
27386.0,Risk Factors of HIV Infection among Indigenous Peoples and Migrants of the Hard North,Epidemiology and Infectious Diseases (Эпидемиология И Инфекционные Болезни),JSC Medicine (Moscow) (ОАО Медицина (Москва)),AUTHOR_MISCONDUCT,2018.0,10.18821/1560-9529-2017-22-3-128-133
26540.0,Media Discourse: To the Question of Methodology,Issues of Cognitive Linguistics (Вопросы Когнитивной Лингвистики),Russian Association of Cognitive Linguists (Tambov) (Российская ассоциация лингвистов-когнитологов (Тамбов)),AUTHOR_MISCONDUCT,2018.0,10.20916/812-3228-2018-1-12-16
19368.0,Efficient distributed traffic offloading algorithm based on SDN architecture,Journal on Communications,China Science and Technology Association,AUTHOR_MISCONDUCT,2018.0,10.11959/j.issn.1000-436x.2017128
21866.0,Corpus callosum agenesia: a minireview,Acta Medica Mediterranea,Carbone Editore di Alessandro Pennino,UNCONFIRMED_CONCERNS,2018.0,10.19193/0393-6384_2018_4s_326
26519.0,Elimination of Lower Jaw Defects by Endoprothesis Created by the Technology of Additive Stereolitographic Modeling,Bulletin of Avicenna (Вестник Авиценны),Tajik State Medical University named after Abu Ali Ibn Sina (Dushanbe) (Таджикский государственный медицинский университет им. Абу Али Ибн Сины (Душанбе)),AUTHOR_MISCONDUCT,2018.0,10.25005/2074-0581-2018-20-2-3-170-175
31835.0,Problems of the development of creativity of a teacher of higher education,Scientific Records of the University Them. P.F. Lesgafta (Ученые Записки Университета Им. П.Ф. Лесгафта),"Federal State Budgetary Educational Institution of Higher Education National State University of Physical Culture, Sports and Health named after P.F. Lesgaft, St. Petersburg (St. Petersburg) (Федеральное государственное бюджетное образовательное учреждение высшего образования Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф. Лесгафта, Санкт-Петербург (Санкт-Петербург))",AUTHOR_MISCONDUCT,2018.0,10.5930/issn.1994-4683.2015.11.129.p266-270
26521.0,Professional Competences of a Teacher of Foreign Languages and Tools for Assessing Their Efficiency (Based on Analysis of International Matrices),Humanities and Social Sciences (ГУМАНИТАРНЫЕ И СОЦИАЛЬНЫЕ НАУКИ),Southern Federal University (Rostov-on-Don) (Южный федеральный университет (Ростов-на-Дону)),AUTHOR_MISCONDUCT,2018.0,10.18522/2070-1403-2018-68-3-194-202
32396.0,Strategic planning tools for innovative activities of an industrial enterprise,Problem Analysis and Governmental Management Design (Проблемный Анализ И Государственно-Управленческое Проектирование),Association of Independent Experts Center for the Study of Crisis Society (Moscow) (Ассоциация независимых экспертов Центр изучения кризисного общества (Москва)),AUTHOR_MISCONDUCT,2018.0,10.23932/2542-0240-2015-5-25-32
27276.0,Methodology of Conducting Heuristic Procedures When Selecting and Justification of the Composition of Definitive Indicators of Coating Quality Affecting Indicators of Road Reliability. Preparation of the Heuristic Procedure and Survey of Experts,Transport Facilities (Транспортные Сооружения),Publishing House World of Science LLC (Moscow) (ООО Издательство Мир науки (Москва)),EDITORIAL_COMPROMISE,2019.0,10.15862/15TS417
26382.0,Orthodox Media in the Cultural and Information Space of the Republic of Mordovia,Finno-Ugorsky World (Финно-Угорский Мир),National Research Mordovian State University named after N.P. Ogareva (Saransk) (Национальный исследовательский Мордовский государственный университет им. Н.П. Огарева (Саранск)),AUTHOR_MISCONDUCT,2019.0,10.15507/2076-2577.010.2018.03.095-105
27208.0,Non-alcoholic fatty liver disease: modern aspects of etiopathogenesis and treatment,Bulletin of Avicenna (Вестник Авиценны),Tajik State Medical University named after Abu Ali Ibn Sina (Dushanbe) (Таджикский государственный медицинский университет им. Абу Али Ибн Сины (Душанбе)),AUTHOR_MISCONDUCT,2019.0,10.25005/2074-0581-2017-19-3-393-398
21309.0,Evaluation of ground motions at damaged bridge sites along Kyushu Expressway during the 2016 Kumamoto earthquakes based on the temporary aftershock observations,"Journal of Structural Engineering, A",Japan Society of Civil Engineers,AUTHOR_MISCONDUCT,2019.0,10.11532/structcivil.63A.251
21310.0,Evaluation of ground motions at damaged bridge sites in Nishihara Village and Minamiaso Village during the 2016 Kumamoto Earthquake based on the temporary aftershock observations,"Journal of Structural Engineering, A",Japan Society of Civil Engineers,AUTHOR_MISCONDUCT,2019.0,10.11532/structcivil.63A.265
28457.0,Non-alcoholic fatty liver disease: modern aspects of etiopathogenesis and treatment,Bulletin of Avicenna (Вестник Авиценны),Tajik State Medical University named after Abu Ali Ibn Sina (Dushanbe) (Таджикский государственный медицинский университет им. Абу Али Ибн Сины (Душанбе)),AUTHOR_MISCONDUCT,2019.0,10.25005/2074-0581-2016-18-1-129-138
21447.0,Angiotensin II induces the exocytosis of galectin-3 via integrin av/AKT/NF-kB signaling pathway,European Review for Medical and Pharmacological Sciences,Verduci Editore,UNCONFIRMED_CONCERNS,2019.0,10.26355/eurrev_201909_18818
