treated_id,control_id,pseudo_retraction_year,arm,treated_position,career_band,income_group,treated_pre_pubs,control_pre_pubs,treated_pre_recent,control_pre_recent,treated_pre_early,control_pre_early,treated_pre_growth,control_pre_growth,match_distance
A5087300019,A5109375968,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,3,3,3,3,0,0,0.6931471805599453,0.6931471805599453,0.0
A5108236326,A5055627271,2015,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,7,7,6,6,1,1,0.8754687373538999,0.8754687373538999,0.0
A5078367532,A5111083958,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,26,26,9,9,17,17,-0.27193371548364187,-0.27193371548364187,0.0
A5103730942,A5088299105,2015,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,8,8,3,3,5,5,-0.11778303565638348,-0.11778303565638348,0.0
A5043572851,A5106469804,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,34,34,28,28,6,6,1.4190841839428816,1.4190841839428816,0.0
A5102190361,A5010082102,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,18,18,14,14,4,4,1.0414538748281612,1.0414538748281612,0.0
A5022537978,A5053039164,2015,HONEST_ERROR,middle,mid (5-10y),higher,11,11,8,8,3,3,0.7396671961948382,0.7396671961948382,0.0
A5085217312,A5031394715,2015,AUTHOR_MISCONDUCT,last,early (<5y),lower,8,8,8,8,0,0,1.2992829841302609,1.2992829841302609,0.0
A5013571940,A5040671249,2015,AUTHOR_MISCONDUCT,middle,veteran (20y+),,0,0,0,0,0,0,0.0,0.0,0.0
A5089154572,A5038542444,2015,EDITORIAL_COMPROMISE,last,senior (10-20y),higher,5,5,3,3,2,2,0.2876820724517809,0.2876820724517809,0.0
A5101971541,A5101905466,2015,EDITORIAL_COMPROMISE,first,mid (5-10y),higher,12,12,11,11,1,1,1.3173014896329391,1.3173014896329391,0.0
A5051966542,A5028336562,2015,HONEST_ERROR,last,veteran (20y+),higher,107,107,48,48,59,59,0.07637297878457394,0.07637297878457394,0.0
A5103413546,A5000516005,2015,UNCONFIRMED_CONCERNS,last,veteran (20y+),higher,3,3,0,0,3,3,-0.5596157879354227,-0.5596157879354227,0.0
A5103137782,A5086059674,2015,AUTHOR_MISCONDUCT,last,senior (10-20y),higher,1,1,0,0,1,1,-0.22314355131420976,-0.22314355131420976,0.0
A5110001579,A5053050139,2015,HONEST_ERROR,middle,veteran (20y+),higher,15,15,9,9,6,6,0.47000362924573547,0.47000362924573547,0.0
A5048347248,A5101777974,2015,AUTHOR_MISCONDUCT,last,mid (5-10y),higher,39,39,35,35,4,4,1.8458266904983307,1.8458266904983307,0.0
A5113749521,A5134232409,2015,EDITORIAL_COMPROMISE,middle,mid (5-10y),higher,3,3,2,2,1,1,0.28768207245178096,0.28768207245178096,0.0
A5045703250,A5018920635,2015,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,9,9,6,6,3,3,0.5389965007326869,0.5389965007326869,0.0
A5100678473,A5102705449,2015,AUTHOR_MISCONDUCT,first,veteran (20y+),higher,33,33,11,11,22,22,-0.3313571359544425,-0.3313571359544425,0.0
A5106231611,A5110285297,2015,AUTHOR_MISCONDUCT,last,senior (10-20y),higher,10,10,6,6,4,4,0.4054651081081643,0.4054651081081643,0.0
A5014969265,A5018999511,2015,HONEST_ERROR,middle,senior (10-20y),higher,12,12,2,2,10,10,-0.7419373447293773,-0.7419373447293773,0.0
A5100424372,A5090252226,2015,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,23,23,13,13,10,10,0.42121346507630353,0.42121346507630353,0.0
A5000117686,A5024024570,2015,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,8,8,0,0,8,8,-1.0986122886681096,-1.0986122886681096,0.0
A5101941542,A5077593567,2015,AUTHOR_MISCONDUCT,first,senior (10-20y),lower,16,16,11,11,5,5,0.7295148247308201,0.7295148247308201,0.0
A5086092552,A5013064709,2015,HONEST_ERROR,middle,veteran (20y+),higher,138,137,66,66,72,71,0.1910552367627094,0.2043004635127299,0.026490453500040978
A5011531365,A5082932758,2015,AUTHOR_MISCONDUCT,middle,senior (10-20y),higher,16,16,6,6,10,10,-0.1541506798272585,-0.1541506798272585,0.0
A5045211553,A5027201794,2015,AUTHOR_MISCONDUCT,last,senior (10-20y),higher,117,116,44,43,73,73,-0.20597574769184446,-0.22748195291280782,0.04301241044192672
A5057051395,A5084878492,2015,AUTHOR_MISCONDUCT,first,mid (5-10y),higher,3,3,2,2,1,1,0.28768207245178096,0.28768207245178096,0.0
A5100402538,A5100718580,2015,AUTHOR_MISCONDUCT,last,veteran (20y+),higher,54,54,24,24,30,30,0.057158413839948796,0.057158413839948796,0.0
