author_id,first_retraction_year,matched_arm,career_band,income_group,first_category,first_position,n_retractions,source_id,last_country,works_count,first_pub_year
A5109375968,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S104698359,US,49,1970
A5055627271,2015,AUTHOR_MISCONDUCT,mid (5-10y),higher,CONTROL,,0,S195816289,,9,2009
A5111083958,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S138759888,CN,172,2005
A5088299105,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S202381698,,13,1988
A5106469804,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S173952182,DE,54,2004
A5010082102,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4306525036,GB,96,1981
A5053039164,2015,HONEST_ERROR,mid (5-10y),higher,CONTROL,,0,S4306525036,IR,71,2010
A5031394715,2015,AUTHOR_MISCONDUCT,early (<5y),lower,CONTROL,,0,S4210172589,,47,2012
A5040671249,2015,AUTHOR_MISCONDUCT,veteran (20y+),,CONTROL,,0,S4306525036,,14,1985
A5038542444,2015,EDITORIAL_COMPROMISE,senior (10-20y),higher,CONTROL,,0,S106979888,US,77,2002
A5101905466,2015,EDITORIAL_COMPROMISE,mid (5-10y),higher,CONTROL,,0,S177147899,CN,39,2010
A5028336562,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S172573765,US,407,1960
A5000516005,2015,UNCONFIRMED_CONCERNS,veteran (20y+),higher,CONTROL,,0,S113313948,FR,99,1967
A5086059674,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S41454044,TR,66,2004
A5053050139,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S83651209,GR,83,1959
A5101777974,2015,AUTHOR_MISCONDUCT,mid (5-10y),higher,CONTROL,,0,S2484704948,CN,97,2006
A5134232409,2015,EDITORIAL_COMPROMISE,mid (5-10y),higher,CONTROL,,0,S28614077,BR,10,2010
A5018920635,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S202381698,US,79,1969
A5102705449,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4306401293,CO,82,1995
A5110285297,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S26760650,CN,27,2001
A5018999511,2015,HONEST_ERROR,senior (10-20y),higher,CONTROL,,0,S2595292759,RU,36,1996
A5090252226,2015,EDITORIAL_COMPROMISE,senior (10-20y),higher,CONTROL,,0,S4210178770,MY,124,2001
A5024024570,2015,AUTHOR_MISCONDUCT,mid (5-10y),higher,CONTROL,,0,S96638545,JP,11,2008
A5077593567,2015,AUTHOR_MISCONDUCT,senior (10-20y),lower,CONTROL,,0,S205902839,IN,40,1997
A5013064709,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S4306525036,NL,305,1978
A5082932758,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S4210217848,US,53,2004
A5027201794,2015,AUTHOR_MISCONDUCT,senior (10-20y),higher,CONTROL,,0,S43139658,IT,331,2001
A5084878492,2015,AUTHOR_MISCONDUCT,mid (5-10y),higher,CONTROL,,0,S65464001,IR,6,2010
A5100718580,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S186054908,CN,167,1991
A5045865871,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S106296714,,11,1985
A5011211191,2015,HONEST_ERROR,senior (10-20y),higher,CONTROL,,0,S106296714,GR,205,2002
A5088264571,2015,AUTHOR_MISCONDUCT,early (<5y),,CONTROL,,0,S114425954,,6,2011
A5024213174,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S25650217,JP,50,1967
A5041110713,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S151589183,KR,193,1989
A5052271050,2015,AUTHOR_MISCONDUCT,veteran (20y+),higher,CONTROL,,0,S4210187594,IT,57,1983
A5037114119,2015,HONEST_ERROR,senior (10-20y),higher,CONTROL,,0,S15137598,IE,36,1999
A5044638051,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S2596539584,US,401,1987
A5054937799,2015,AUTHOR_MISCONDUCT,early (<5y),lower,CONTROL,,0,S83651209,SS,22,2011
A5120183226,2015,HONEST_ERROR,senior (10-20y),higher,CONTROL,,0,S4306525036,CN,99,1999
A5000078617,2015,HONEST_ERROR,veteran (20y+),higher,CONTROL,,0,S2485537415,KR,358,1989
