term,coef,se,p,event_time,arm,n_authors,n_obs,split,subgroup,outcome,table,vs_subgroup,diff_in_diff,z
k-3:AUTHOR_MISCONDUCT,0.04783225762849212,0.05581162262035086,0.39142808037784005,-3,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+0:AUTHOR_MISCONDUCT,0.03691751427702425,0.056288082697228535,0.5119094929712409,0,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+1:AUTHOR_MISCONDUCT,-0.11798398269861256,0.05719662224545325,0.039133644311679205,1,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+2:AUTHOR_MISCONDUCT,-0.0788868989288026,0.050706013646897204,0.11976277516397982,2,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+3:AUTHOR_MISCONDUCT,-0.06386645490487824,0.07178878221928747,0.3736571056648659,3,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+4:AUTHOR_MISCONDUCT,-0.02409353563342846,0.06336260745890346,0.703760969860356,4,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+5:AUTHOR_MISCONDUCT,-0.08110026019667128,0.06228165810336963,0.19286402105599976,5,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+6:AUTHOR_MISCONDUCT,-0.04474031020849832,0.06118952421760922,0.46467167104636786,6,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k-3:HONEST_ERROR,-0.02456207159177639,0.05759930193412597,0.669794529019252,-3,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+0:HONEST_ERROR,0.07216298552932127,0.06084036235787606,0.2355813065338479,0,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+1:HONEST_ERROR,-0.05495741881880605,0.060920440398999076,0.3669942493287155,1,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+2:HONEST_ERROR,-0.06343903621131539,0.057751601651559556,0.2719945167611524,2,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+3:HONEST_ERROR,-0.032559025133284604,0.07516032775881566,0.6648736237370316,3,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+4:HONEST_ERROR,-0.05734611922730895,0.06793053492900948,0.3985645498475403,4,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k+5:HONEST_ERROR,-0.07655957903482989,0.06811543504606436,0.2610265409064283,5,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
