term,coef,se,t,p,ci_lo,ci_hi,event_time,group,outcome,n_obs,n_authors,n_clusters,cond,meaningful
k-6:AUTHOR_MISCONDUCT,-0.05942205606252107,0.009901170278522947,-6.001518445896846,1.9548074270403504e-09,-0.07882834980842604,-0.0400157623166161,-6,AUTHOR_MISCONDUCT,active,475189,36553,3207,22.904726331845673,1.0
k-5:AUTHOR_MISCONDUCT,-0.0489416860830503,0.010601724618695308,-4.616389110574093,3.9047451187990134e-06,-0.06972106633569311,-0.0281623058304075,-5,AUTHOR_MISCONDUCT,active,475189,36553,3207,22.904726331845673,1.0
k-4:AUTHOR_MISCONDUCT,-0.03438277757298831,0.007223857534416984,-4.759614570079315,1.939629991287717e-06,-0.0485415383404456,-0.020224016805531025,-4,AUTHOR_MISCONDUCT,active,475189,36553,3207,22.904726331845673,1.0
k-3:AUTHOR_MISCONDUCT,-0.006504773313153585,0.005267738285542324,-1.2348322867531953,0.21689292848589758,-0.01682954035281654,0.0038199937265093707,-3,AUTHOR_MISCONDUCT,active,475189,36553,3207,22.904726331845673,0.0
k+0:AUTHOR_MISCONDUCT,0.08422782606510365,0.00894138465169391,9.419998059153738,0.0,0.06670271214778359,0.10175293998242371,0,AUTHOR_MISCONDUCT,active,475189,36553,3207,22.904726331845673,1.0
k+1:AUTHOR_MISCONDUCT,-0.047463513953124536,0.006140950239654808,-7.729017839394271,1.0880185641326534e-14,-0.05949977642284796,-0.03542725148340111,1,AUTHOR_MISCONDUCT,active,475189,36553,3207,22.904726331845673,1.0
k+2:AUTHOR_MISCONDUCT,-0.04475630605294002,0.006431269452449358,-6.95917133994355,3.4228175849193576e-12,-0.057361594179740766,-0.03215101792613928,2,AUTHOR_MISCONDUCT,active,475189,36553,3207,22.904726331845673,1.0
k+3:AUTHOR_MISCONDUCT,-0.044581384235395684,0.007937219861715163,-5.616750576663759,1.9458199052024838e-08,-0.060138335164357404,-0.029024433306433964,3,AUTHOR_MISCONDUCT,active,475189,36553,3207,22.904726331845673,1.0
k+4:AUTHOR_MISCONDUCT,-0.03362602799804883,0.009009183668316578,-3.7324167467363956,0.00018965138854243335,-0.051284027987949315,-0.015968028008148335,4,AUTHOR_MISCONDUCT,active,475189,36553,3207,22.904726331845673,1.0
k+5:AUTHOR_MISCONDUCT,-0.038386954087167385,0.007926706741012476,-4.842736755802351,1.2806290339284487e-06,-0.053923299299551836,-0.022850608874782935,5,AUTHOR_MISCONDUCT,active,475189,36553,3207,22.904726331845673,1.0
k+6:AUTHOR_MISCONDUCT,-0.028645636539865446,0.008728820878174086,-3.2817303665254736,0.001031722101961119,-0.045754125461086655,-0.011537147618644238,6,AUTHOR_MISCONDUCT,active,475189,36553,3207,22.904726331845673,1.0
k-6:EDITORIAL_COMPROMISE,-0.11464327231817867,0.014295347456520403,-8.019621255577633,1.1102230246251565e-15,-0.14266215333295865,-0.08662439130339868,-6,EDITORIAL_COMPROMISE,active,475189,36553,3207,22.904726331845673,1.0
k-5:EDITORIAL_COMPROMISE,-0.10353985287812902,0.010135620713778624,-10.215442724427747,0.0,-0.12340566947713512,-0.08367403627912291,-5,EDITORIAL_COMPROMISE,active,475189,36553,3207,22.904726331845673,1.0
k-4:EDITORIAL_COMPROMISE,-0.08038582529592476,0.01540761668096682,-5.217278373444101,1.8157127601448053e-07,-0.11058475399061973,-0.0501868966012298,-4,EDITORIAL_COMPROMISE,active,475189,36553,3207,22.904726331845673,1.0
k-3:EDITORIAL_COMPROMISE,-0.04373358923879753,0.013162139289550758,-3.3226809317780903,0.0008915683050747525,-0.06953138224631701,-0.017935796231278042,-3,EDITORIAL_COMPROMISE,active,475189,36553,3207,22.904726331845673,1.0
k+0:EDITORIAL_COMPROMISE,0.043358556216719336,0.014297507730828307,3.0325954028497955,0.00242460442420267,0.015335441064295855,0.07138167136914282,0,EDITORIAL_COMPROMISE,active,475189,36553,3207,22.904726331845673,1.0
k+1:EDITORIAL_COMPROMISE,-0.03292472427809598,0.013013240396129996,-2.530094217569934,0.011403190121284545,-0.05843067545451077,-0.007418773101681188,1,EDITORIAL_COMPROMISE,active,475189,36553,3207,22.904726331845673,1.0
k+2:EDITORIAL_COMPROMISE,-0.03885488504366956,0.013025483393892005,-2.9829898721370793,0.0028544743984686427,-0.06438483249569789,-0.013324937591641231,2,EDITORIAL_COMPROMISE,active,475189,36553,3207,22.904726331845673,1.0
k+3:EDITORIAL_COMPROMISE,-0.026449635153058072,0.012137784857403834,-2.179115502852587,0.029323088871292757,-0.05023969347356959,-0.0026595768325465563,3,EDITORIAL_COMPROMISE,active,475189,36553,3207,22.904726331845673,1.0
k+4:EDITORIAL_COMPROMISE,-0.018867732815358945,0.012862237119703959,-1.4669091107374337,0.14240078177682314,-0.044077717569978705,0.006342251939260815,4,EDITORIAL_COMPROMISE,active,475189,36553,3207,22.904726331845673,0.0
k+5:EDITORIAL_COMPROMISE,-0.015438419385402306,0.013749149095992548,-1.1228636243316417,0.2614954185819891,-0.0423867516135477,0.011509912842743088,5,EDITORIAL_COMPROMISE,active,475189,36553,3207,22.904726331845673,0.0
k+6:EDITORIAL_COMPROMISE,-0.017272103200642847,0.01278783678130323,-1.350666535398383,0.17680227672391546,-0.042336263291997175,0.007792056890711486,6,EDITORIAL_COMPROMISE,active,475189,36553,3207,22.904726331845673,0.0
k-6:HONEST_ERROR,-0.08917915830696599,0.009416382757331712,-9.470638631116604,0.0,-0.10763526851133615,-0.07072304810259583,-6,HONEST_ERROR,active,475189,36553,3207,22.904726331845673,1.0
k-5:HONEST_ERROR,-0.07464825901294636,0.008622096528177014,-8.657785118618868,0.0,-0.09154756820817331,-0.057748949817719414,-5,HONEST_ERROR,active,475189,36553,3207,22.904726331845673,1.0
k-4:HONEST_ERROR,-0.05759228338837903,0.007284487152489492,-7.906154844229045,2.6645352591003757e-15,-0.07186987820725843,-0.04331468856949963,-4,HONEST_ERROR,active,475189,36553,3207,22.904726331845673,1.0
k-3:HONEST_ERROR,-0.023502858227100024,0.0074940897888409914,-3.1361858330142707,0.0017116071042986292,-0.03819127421322837,-0.00881444224097168,-3,HONEST_ERROR,active,475189,36553,3207,22.904726331845673,1.0
k+0:HONEST_ERROR,0.07802922501443446,0.007128984776221458,10.945348806845386,0.0,0.06405641485304041,0.09200203517582851,0,HONEST_ERROR,active,475189,36553,3207,22.904726331845673,1.0
k+1:HONEST_ERROR,-0.03056805631838305,0.006944914534897387,-4.401502158850498,1.0750399832559765e-05,-0.044180088806781925,-0.016956023829984172,1,HONEST_ERROR,active,475189,36553,3207,22.904726331845673,1.0
k+2:HONEST_ERROR,-0.03378944338494837,0.006602861281214188,-5.117394103232605,3.0978588805297136e-07,-0.046731051496128176,-0.02084783527376856,2,HONEST_ERROR,active,475189,36553,3207,22.904726331845673,1.0
