outcome,contrast,k,diff,se,ci90_lo,ci90_hi,bound,p_tost,equivalent,min_bound
active,AUTH - HONE,1,-0.0169,0.0087,-0.0311,-0.0027,0.02,0.3599,False,0.0311
active,AUTH - HONE,3,-0.0119,0.0084,-0.0256,0.0019,0.02,0.1649,False,0.0256
active,AUTH - HONE,6,-0.0035,0.0088,-0.018,0.0109,0.02,0.0304,True,0.018
active,AUTH - EDIT,1,-0.0145,0.0139,-0.0373,0.0083,0.02,0.3469,False,0.0373
active,AUTH - EDIT,3,-0.0181,0.0128,-0.0391,0.0028,0.02,0.4418,False,0.0391
active,AUTH - EDIT,6,-0.0114,0.013,-0.0328,0.0101,0.02,0.254,False,0.0328
active,HONE - EDIT,1,0.0024,0.014,-0.0206,0.0253,0.02,0.1033,False,0.0253
active,HONE - EDIT,3,-0.0063,0.0131,-0.0278,0.0152,0.02,0.1469,False,0.0278
active,HONE - EDIT,6,-0.0078,0.0136,-0.0302,0.0145,0.02,0.1851,False,0.0302
publications,AUTH - HONE,1,-0.2445,0.1614,-0.5101,0.021,0.05,0.8859,False,0.5101
publications,AUTH - HONE,3,-0.3597,0.1752,-0.6479,-0.0714,0.05,0.9614,False,0.6479
publications,AUTH - HONE,6,-0.089,0.3786,-0.7117,0.5338,0.05,0.541,False,0.7117
publications,AUTH - EDIT,1,-0.269,0.2542,-0.6872,0.1491,0.05,0.8056,False,0.6872
publications,AUTH - EDIT,3,-0.4229,0.2797,-0.8831,0.0373,0.05,0.9087,False,0.8831
publications,AUTH - EDIT,6,0.1373,0.6008,-0.8509,1.1256,0.05,0.5578,False,1.1256
publications,HONE - EDIT,1,-0.0245,0.284,-0.4917,0.4426,0.05,0.4643,False,0.4917
publications,HONE - EDIT,3,-0.0632,0.3001,-0.5568,0.4305,0.05,0.5175,False,0.5568
publications,HONE - EDIT,6,0.2263,0.6273,-0.8056,1.2582,0.05,0.6107,False,1.2582
publications_active_only,AUTH - HONE,1,-0.1883,0.1929,-0.5057,0.1291,0.05,0.7632,False,0.5057
publications_active_only,AUTH - HONE,3,-0.3392,0.2152,-0.6932,0.0148,0.05,0.9105,False,0.6932
publications_active_only,AUTH - HONE,6,0.0936,0.5038,-0.7352,0.9225,0.05,0.5345,False,0.9225
publications_active_only,AUTH - EDIT,1,-0.2133,0.2853,-0.6826,0.2561,0.05,0.7164,False,0.6826
publications_active_only,AUTH - EDIT,3,-0.4099,0.3169,-0.9311,0.1114,0.05,0.872,False,0.9311
publications_active_only,AUTH - EDIT,6,0.3672,0.7039,-0.7906,1.5251,0.05,0.6739,False,1.5251
publications_active_only,HONE - EDIT,1,-0.025,0.32,-0.5513,0.5013,0.05,0.4688,False,0.5513
publications_active_only,HONE - EDIT,3,-0.0707,0.34,-0.63,0.4887,0.05,0.5243,False,0.63
publications_active_only,HONE - EDIT,6,0.2736,0.7366,-0.938,1.4852,0.05,0.6193,False,1.4852
