event_time,att,n_cohorts,n_treated,se,p,ci_lo,ci_hi,arm
-6,-0.05117704297395786,5,9617,0.005976964899364662,0.0,-0.06289189417671259,-0.03946219177120312,AUTHOR_MISCONDUCT
-5,-0.044287046806656225,5,9617,0.0056108699509976705,3.1086244689504383e-15,-0.05528435191061166,-0.03328974170270079,AUTHOR_MISCONDUCT
-4,-0.03221536688971661,5,9617,0.0044947478472445596,7.647216193618078e-13,-0.041025072670315944,-0.023405661109117272,AUTHOR_MISCONDUCT
-3,-0.01240221823768431,5,9617,0.004711214818074161,0.008476192383090497,-0.021636199281109665,-0.0031682371942589535,AUTHOR_MISCONDUCT
-2,-0.02397947630285417,5,9617,0.0045505246026590965,1.367161559517882e-07,-0.032898504524065994,-0.01506044808164234,AUTHOR_MISCONDUCT
0,0.07337809482806204,5,9617,0.00437491827172165,0.0,0.0648032550154876,0.08195293464063648,AUTHOR_MISCONDUCT
1,-0.056560147409747866,5,9617,0.0045005372600864105,0.0,-0.06538120043951723,-0.0477390943799785,AUTHOR_MISCONDUCT
2,-0.05187099905291616,5,9617,0.004937080408620878,0.0,-0.06154767665381308,-0.042194321452019234,AUTHOR_MISCONDUCT
3,-0.04671816413579358,5,9617,0.0049043365877015944,0.0,-0.0563306638476887,-0.037105664423898455,AUTHOR_MISCONDUCT
4,-0.030271730981465714,5,9617,0.005287934113813777,1.036288477251901e-08,-0.04063608184454072,-0.01990738011839071,AUTHOR_MISCONDUCT
5,-0.029660579666132277,5,9617,0.00529108535563757,2.0733744721113112e-08,-0.04003110696318191,-0.01929005236908264,AUTHOR_MISCONDUCT
6,-0.011744885564379024,5,9617,0.005402560854334769,0.02970905176144001,-0.022333904838875172,-0.0011558662898828766,AUTHOR_MISCONDUCT
-6,-0.09222928743782266,5,4894,0.007766995550344112,0.0,-0.10745259871649712,-0.0770059761591482,HONEST_ERROR
-5,-0.0806016976723109,5,4894,0.007343021152026568,0.0,-0.09499401913028298,-0.06620937621433882,HONEST_ERROR
-4,-0.06606303916917539,5,4894,0.006700670817782489,0.0,-0.07919635397202907,-0.052929724366321707,HONEST_ERROR
-3,-0.03901705318608032,5,4894,0.006220639111093155,3.5599656555973525e-10,-0.0512095058438229,-0.02682460052833774,HONEST_ERROR
-2,-0.040445236935701075,5,4894,0.0058071282261281726,3.289812866569264e-12,-0.051827208258912294,-0.029063265612489855,HONEST_ERROR
0,0.059427663336931634,5,4894,0.005086970259858131,0.0,0.0494572016276097,0.06939812504625358,HONEST_ERROR
1,-0.04713281556536875,5,4894,0.005640472282298224,0.0,-0.058188141238673274,-0.03607748989206423,HONEST_ERROR
2,-0.048275181073824,5,4894,0.006537842126294614,1.5365486660812167e-13,-0.06108935164136145,-0.035461010506286555,HONEST_ERROR
3,-0.042511953724276644,5,4894,0.00658309816883231,1.0627632107684803e-10,-0.05541482613518797,-0.029609081313365315,HONEST_ERROR
4,-0.03850126692062566,5,4894,0.006552173052698018,4.2002805678009736e-09,-0.051343526103913774,-0.025659007737337543,HONEST_ERROR
5,-0.01938160433887583,5,4894,0.006561966503034513,0.003140629021605834,-0.032243058684823474,-0.006520149992928185,HONEST_ERROR
6,-0.01458212077927789,5,4894,0.006966236160806229,0.03632624234456028,-0.0282359436544581,-0.0009282979040976802,HONEST_ERROR
-6,-0.11417460694550564,5,2783,0.009722488394038735,0.0,-0.13323068419782155,-0.09511852969318972,EDITORIAL_COMPROMISE
-5,-0.10683735869809141,5,2783,0.009696512440902834,0.0,-0.12584252308226096,-0.08783219431392186,EDITORIAL_COMPROMISE
-4,-0.08674224658144374,5,2783,0.009364406966747011,0.0,-0.10509648423626788,-0.06838800892661959,EDITORIAL_COMPROMISE
-3,-0.058347804960406154,5,2783,0.008993293481666501,8.702727427589707e-11,-0.07597466018447249,-0.040720949736339815,EDITORIAL_COMPROMISE
-2,-0.04404572822274767,5,2783,0.007548648772945406,5.381781242874695e-09,-0.05884107981772066,-0.02925037662777467,EDITORIAL_COMPROMISE
0,0.02189353043745436,5,2783,0.007086690272077621,0.0020056983242286996,0.008003617504182221,0.035783443370726496,EDITORIAL_COMPROMISE
1,-0.05251493825389875,5,2783,0.007837344622154668,2.075606353457715e-11,-0.0678761337133219,-0.03715374279447561,EDITORIAL_COMPROMISE
2,-0.05667454951553325,5,2783,0.008029102907649997,1.681321748492337e-12,-0.07241159121452724,-0.040937507816539265,EDITORIAL_COMPROMISE
3,-0.03928291821699971,5,2783,0.00740705244551813,1.1363552210319483e-07,-0.053800741010215244,-0.024765095423784175,EDITORIAL_COMPROMISE
4,-0.026979369051329322,5,2783,0.007902499566683714,0.0006400957309669053,-0.042468268202029404,-0.011490469900629243,EDITORIAL_COMPROMISE
5,-0.017856799247118433,5,2783,0.008111830811786286,0.02771282119745555,-0.033755987638219555,-0.001957610856017311,EDITORIAL_COMPROMISE
6,-0.011749028488625418,5,2783,0.008340360333530347,0.1589252112792474,-0.028096134742344896,0.004598077765094062,EDITORIAL_COMPROMISE
