arm,cohort,year,event_time,att,n_treated,n_control
AUTHOR_MISCONDUCT,2015,2009,-6,-0.0023973164221026966,1757,3343
AUTHOR_MISCONDUCT,2015,2010,-5,-0.014063477203518401,1757,6758
AUTHOR_MISCONDUCT,2015,2011,-4,0.007601253493521712,1757,10301
AUTHOR_MISCONDUCT,2015,2012,-3,0.032933445231854167,1757,14161
AUTHOR_MISCONDUCT,2015,2013,-2,-0.009281648302386578,1757,19259
AUTHOR_MISCONDUCT,2015,2015,0,0.05412706395162158,1757,19259
AUTHOR_MISCONDUCT,2015,2016,1,-0.08116930333748715,1757,19259
AUTHOR_MISCONDUCT,2015,2017,2,-0.09480684517905177,1757,19259
AUTHOR_MISCONDUCT,2015,2018,3,-0.09056283747683785,1757,19259
AUTHOR_MISCONDUCT,2015,2019,4,-0.08269823246088288,1757,19259
AUTHOR_MISCONDUCT,2015,2020,5,-0.07699465539738488,1757,19259
AUTHOR_MISCONDUCT,2015,2021,6,-0.07191182899564907,1757,19259
AUTHOR_MISCONDUCT,2016,2010,-6,-0.05163414896731544,1861,6758
AUTHOR_MISCONDUCT,2016,2011,-5,-0.04701546325041299,1861,10301
AUTHOR_MISCONDUCT,2016,2012,-4,-0.01385380779362351,1861,14161
AUTHOR_MISCONDUCT,2016,2013,-3,-0.008374989770792936,1861,19259
AUTHOR_MISCONDUCT,2016,2014,-2,-0.03962699254002378,1861,19259
AUTHOR_MISCONDUCT,2016,2016,0,0.047543624551313425,1861,19259
AUTHOR_MISCONDUCT,2016,2017,1,-0.08642077750120748,1861,19259
AUTHOR_MISCONDUCT,2016,2018,2,-0.09070732096502108,1861,19259
AUTHOR_MISCONDUCT,2016,2019,3,-0.06795270968870037,1861,19259
AUTHOR_MISCONDUCT,2016,2020,4,-0.048942720597715476,1861,19259
AUTHOR_MISCONDUCT,2016,2021,5,-0.04957649199454513,1861,19259
AUTHOR_MISCONDUCT,2016,2022,6,-0.03492637799279101,1861,15916
AUTHOR_MISCONDUCT,2017,2011,-6,-0.05006301739218161,1632,10301
AUTHOR_MISCONDUCT,2017,2012,-5,-0.028243650401337,1632,14161
AUTHOR_MISCONDUCT,2017,2013,-4,-0.02944545789134491,1632,19259
AUTHOR_MISCONDUCT,2017,2014,-3,-0.018860897986070175,1632,19259
AUTHOR_MISCONDUCT,2017,2015,-2,-0.019026118677389438,1632,19259
AUTHOR_MISCONDUCT,2017,2017,0,0.09206709060902517,1632,19259
AUTHOR_MISCONDUCT,2017,2018,1,-0.055252465361241856,1632,19259
AUTHOR_MISCONDUCT,2017,2019,2,-0.030141370115728934,1632,19259
AUTHOR_MISCONDUCT,2017,2020,3,-0.039582047965351565,1632,19259
AUTHOR_MISCONDUCT,2017,2021,4,-0.031212647970034896,1632,19259
AUTHOR_MISCONDUCT,2017,2022,5,-0.027252912348653957,1632,15916
AUTHOR_MISCONDUCT,2017,2023,6,0.010750463492332371,1632,12501
AUTHOR_MISCONDUCT,2018,2012,-6,-0.061148535135055165,1852,14161
AUTHOR_MISCONDUCT,2018,2013,-5,-0.04266429753691775,1852,19259
AUTHOR_MISCONDUCT,2018,2014,-4,-0.04533514778706586,1852,19259
AUTHOR_MISCONDUCT,2018,2015,-3,-0.03730970020243544,1852,19259
AUTHOR_MISCONDUCT,2018,2016,-2,-0.017621869756105166,1852,19259
AUTHOR_MISCONDUCT,2018,2018,0,0.09335163151120505,1852,19259
AUTHOR_MISCONDUCT,2018,2019,1,-0.038282233646449775,1852,19259
AUTHOR_MISCONDUCT,2018,2020,2,-0.03107556681305882,1852,19259
